Date,Active Cases,Total Cases,Recovered,Recovery Rate
10-Mar-20,5,5,0,0
11-Mar-20,11,11,0,0
12-Mar-20,14,14,0,0
13-Mar-20,17,17,0,0
14-Mar-20,26,26,0,0
15-Mar-20,32,32,0,0
16-Mar-20,39,39,0,0
17-Mar-20,41,41,0,0
18-Mar-20,45,45,0,0
19-Mar-20,48,48,0,0
20-Mar-20,52,52,0,0
21-Mar-20,64,64,0,0
22-Mar-20,74,74,0,0
23-Mar-20,89,89,0,0
24-Mar-20,107,107,0,0
25-Mar-20,122,122,0,0
26-Mar-20,125,125,0,0
27-Mar-20,153,153,0,0
28-Mar-20,181,181,0,0
29-Mar-20,203,203,0,0
30-Mar-20,220,220,0,0
31-Mar-20,302,302,0,0
01 April 2020,335,335,0,0
02 April 2020,423,423,0,0
03 April 2020,487,487,0,0
04 April 2020,635,635,0,0
05 April 2020,747,747,0,0
06 April 2020,868,868,0,0
07 April 2020,1018,1018,0,0
08 April 2020,1135,1135,0,0
09 April 2020,1364,1364,0,0
10 April 2020,1574,1574,0,0
11 April 2020,1761,1761,0,0
12 April 2020,1982,1982,0,0
13 April 2020,2334,2334,0,0
14 April 2020,2361,2361,0,0
15 April 2020,2576,2576,0,0
16 April 2020,2842,2842,0,0
17 April 2020,2910,2910,0,0
18 April 2020,2780,3310,530,16.01208459
19 April 2020,3063,3637,574,15.78223811
20 April 2020,3851,4653,802,17.2361917
21 April 2020,4232,5203,971,18.66231021
22 April 2020,4576,5632,1056,18.75
23 April 2020,4511,5632,1121,19.90411932
24 April 2020,5654,6792,1138,16.75500589
25 April 2020,6325,7603,1278,16.80915428
26 April 2020,6627,8043,1416,17.60537113
27 April 2020,6916,8565,1649,19.25277291
28 April 2020,7507,9293,1786,19.21876681
29 April 2020,7867,9890,2023,20.45500506
30 April 2020,8268,10498,2230,21.24214136
01-May-20,9142,11506,2364,20.54580219
02-May-20,9896,12296,2400,19.51854262
03-May-20,10311,12974,2663,20.52566672
04-May-20,11493,14541,3048,20.96141943
05-May-20,12089,15525,3436,22.13204509
06-May-20,13286,16756,3470,20.70899976
07-May-20,14125,18120,3995,22.04746137
08-May-20,14862,19063,4201,22.03745476
09-May-20,14862,19063,4201,22.03745476
10-May-20,17869,22171,4302,19.40372559
11-May-20,17747,23401,5654,24.16136063
12-May-20,18381,24427,6046,24.75129979
13-May-20,19822,25922,6100,23.53213487
14-May-20,20446,27524,7078,25.71573899
15-May-20,21973,29100,7127,24.49140893
16-May-20,22483,30706,8223,26.77978245
17-May-20,24167,33053,8886,26.88409524
18-May-20,25372,35058,9686,27.62850134
19-May-20,27374,37136,9762,26.28716071
20-May-20,27589,39297,11708,29.79362292
21-May-20,29870,41642,11772,28.26953557
22-May-20,30482,44582,14100,31.62711408
23-May-20,32209,47190,14981,31.74613266
24-May-20,33995,50230,16235,32.32132192
25-May-20,35186,52667,17481,33.19156208
26-May-20,36012,54758,18746,34.23426714
27-May-20,37131,56946,19815,34.79612264
28-May-20,38948,59546,20598,34.5917442
29-May-20,33133,62228,29095,46.75547985
30-May-20,34890,65168,30278,46.46145347
31-May-20,36040,67655,31615,46.72973173
01-Jun-20,37543,70013,32470,46.3771014
02-Jun-20,38502,72300,33798,46.74688797
03-Jun-20,39944,74860,34916,46.64173123
04-Jun-20,41402,77793,36391,46.7792732
05-Jun-20,42233,80229,37996,47.35943362
06-Jun-20,42609,82968,40359,48.64405554
07-Jun-20,43601,85975,42374,49.28642047
08-Jun-20,44382,88526,44144,49.86557621
09-Jun-20,44859,90787,45928,50.58874068
10-Jun-20,46213,94166,47953,50.92390035
11-Jun-20,47980,97648,49668,50.86432902
12-Jun-20,49628,101141,51513,50.93186739
13-Jun-20,51392,104568,53176,50.85303343
14-Jun-20,51828,107958,56130,51.99244151
15-Jun-20,50567,110744,60177,54.33883551
16-Jun-20,50057,113445,63388,55.8755344
17-Jun-20,51935,116752,64817,55.51682198
18-Jun-20,53915,120504,66589,55.2587466
19-Jun-20,55658,124324,68666,55.23149191
20-Jun-20,58068,128205,70137,54.70691471
21-Jun-20,60161,132075,71914,54.44936589
22-Jun-20,61807,135796,73989,54.48540458
23-Jun-20,62848,139010,76162,54.78886411
24-Jun-20,62369,142900,80531,56.35479356
25-Jun-20,63357,147741,84384,57.11616951
26-Jun-20,65844,152765,86921,56.89850424
27-Jun-20,67615,159133,91518,57.5103844
28-Jun-20,70622,164626,94004,57.1015514
29-Jun-20,73313,169883,96570,56.84500509
30-Jun-20,75995,174761,98766,56.51489749
01-Jul-20,79074,180281,101207,56.13847272
02-Jul-20,77251,186612,109361,58.60341243
